氏名,プロフィール
守島　正,"守島　正（もりしま　ただし）
小選挙区（大阪府第二区）選出、日本維新の会
昭和五十六年七月大阪府大阪市に生まれる、同志社大学商学部卒業、大阪市立大学大学院創造都市研究科修了○衆議院議員初当選以前は、新日本製鐵株式会社社員、共和精機株式会社取締役、大阪市会議員（三期）、大阪維新の会政調会長、中小企業診断士等を務める○衆院一期中は法務委員会理事、地方創生に関する特別委員会理事、総務委員会理事、経済産業委員会理事を歴任○同一期中に、党国会議員団政調副会長、法務部会長、経済産業部会長を歴任○著書「大都市制度をめぐる論点と政策検証」（日本評論社、二〇二〇年）第一章を執筆○当選二回（49 50）
（令和7年3月現在）"
森田　俊和,"森田　俊和（もりた　としかず）
小選挙区（埼玉県第十二区）選出、立憲民主党・無所属
昭和四十九年九月埼玉県熊谷市に生まれる、早稲田大学大学院政治学研究科博士課程単位取得退学○埼玉県議会議員、有限会社ナトーライフコンサルタント代表取締役、社団法人熊谷青年会議所理事長○当選三回（48 49 50）
（令和7年3月現在）"
森山　裕,"森山　裕（もりやま　ひろし）
小選挙区（鹿児島県第四区）選出、自由民主党・無所属の会
昭和二十年四月八日鹿児島県鹿屋市生まれ、昭和四十年旧鹿児島県立日新高校（旧鹿児島県立鶴丸高等学校夜間課程）卒○鹿児島市議会議員（七期）、鹿児島市議会議長（市議会議長として全国最年少）、九州市議会議長会会長（二期）、鹿児島県定通制教育振興会会長○財務副大臣（安倍、福田内閣）、農林水産大臣（安倍内閣）○自由民主党国会対策委員長、TPP・日EU・日米TAG等経済協定対策本部本部長、総合農林政策調査会最高顧問、選挙対策委員長、総務会長、幹事長○平成十年参議院議員鹿児島県選挙区当選、平成十六年衆議院議員鹿児島県第五区補欠選挙当選、総務委員会理事、予算委員会筆頭理事、農林水産委員長○当選八回（43補 44 45 46 47 48 49 50）参一回（18）
（令和7年3月現在）"
森山　浩行,"森山　浩行（もりやま　ひろゆき）
比例代表（近畿）選出、立憲民主党・無所属
昭和四十六年四月八日大阪府堺市に生まれる、明治大学法学部卒業○堺市議会議員、大阪府議会議員となる。また、関西テレビ放送報道部記者、羽衣国際大学客員助教授、同非常勤講師、芦屋大学客員教授となる○当選四回（45 48 49 50）
（令和7年3月現在）"
矢崎　堅太郎,"矢崎　堅太郎（やざき　けんたろう）
小選挙区（千葉県第五区）選出、立憲民主党・無所属
昭和四十二年九月、東京都杉並区に生まれ、浦安市育ち。千葉県立市川東高校、駒澤大学法学部政治学科卒業。富士（現みずほ）銀行入行。千葉県議会議員四期十五年。財務金融委員、政治改革特別委員。立憲民主党千葉県第五区総支部長○当選一回（50）
（令和7年3月現在）"
谷田川　元,"谷田川　元（やたがわ　はじめ）
比例代表（南関東）選出、立憲民主党・無所属
昭和三十八年一月千葉県香取市佐原に生まれる○早稲田大学政治経済学部卒業、株式会社丸紅勤務を経て、松下政経塾に入塾。同塾卒業後は、衆議院議員山村新治郎の秘書となる○千葉県議会議員に四期連続で当選○平成二十一年八月民主党衆議院議員となる○当選四回（45 48繰 49 50）
（令和7年3月現在）"
簗　和生,"簗　和生（やな　かずお）
小選挙区（栃木県第三区）選出、自由民主党・無所属の会
昭和五十四年四月東京都小金井市に生まれる、慶應義塾大学商学部卒業、東京大学大学院経済学研究科修士課程修了。衆議院議員岡部英明秘書、株式会社日本経済研究所研究員○文部科学副大臣、国土交通大臣政務官兼内閣府大臣政務官○自由民主党栃木県第三選挙区支部長、農林部会長○衆議院安全保障委員長、農林水産委員会理事、国土交通委員会理事、経済産業委員会理事、科学技術・イノベーション推進特別委員会理事○当選五回（46 47 48 49 50）
（令和7年3月現在）"
柳沢　剛,"柳沢　剛（やなぎさわ　つよし）
小選挙区（宮城県第三区）選出、立憲民主党・無所属
昭和三十八年八月群馬県高崎市に生まれる、駒澤大学法学部卒業、株式会社仙台放送アナウンサー、一般社団法人名取市観光物産協会理事、ゆりが丘フェニックススポーツ少年団監督○当選一回（50）
（令和7年3月現在）"
八幡　愛,"八幡　愛（やはた　あい）
比例代表（近畿）選出、れいわ新選組
昭和六十二年七月兵庫県姫路市に生まれる、私立賢明女子学院高校卒業○タレント活動、市民メディアリポーター、ラジオDJ○防災士○れいわ新選組幹事○当選一回（50）
（令和7年3月現在）"
山　登志浩,"山　登志浩（やま　としひろ）
比例代表（北陸信越）選出、立憲民主党・無所属
昭和五十四年十二月愛知県江南市に生まれる、立命館大学法学部法学科卒業、立命館大学大学院社会学研究科修士課程修了○江南市議会議員当選四回、江南市議会副議長、個別指導五条川ゼミ経営○社会民主党全国連合常任幹事、立憲民主党富山県総支部連合会副代表、立憲民主党富山県第一区総支部長○当選一回（50）
（令和7年3月現在）"
山岡　達丸,"山岡　達丸（やまおか　たつまる）
小選挙区（北海道第九区）選出、立憲民主党・無所属
昭和五十四年七月二十二日東京都に生まれる、慶應義塾大学経済学部卒業、日本放送協会職員を経て、民主党北海道青年委員会事務局長、国民民主党副幹事長、立憲民主党経済産業部会長、立憲民主党副幹事長兼総務局長、立憲民主党ハラスメント対策委員会事務局長、衆議院経済産業委員会理事○当選四回（45 48 49 50）
（令和7年3月現在）"
山川　仁,"山川　仁（やまかわ　ひとし）
比例代表（九州）選出、れいわ新選組
昭和四十九年九月沖縄県豊見城市（村）生まれ、豊見城南高等学校卒業○衆議院議員公設第一秘書、豊見城市議会議員、第六代豊見城市長○れいわ新選組衆議院沖縄県第四区総支部長、国会対策委員長、衆議院総務委員、議院運営委員、沖縄及び北方問題に関する特別委員○当選一回（50）
（令和7年3月現在）"
山岸　一生,"山岸　一生（やまぎし　いっせい）
小選挙区（東京都第九区）選出、立憲民主党・無所属
一九八一年八月神奈川県川崎市に生まれる、東京大学法学部卒業○朝日新聞記者○立憲民主党衆議院東京都第九区総支部長、立憲民主党前政務調査会長筆頭補佐○衆議院内閣委員会理事○当選二回（49 50）
（令和7年3月現在）"
山際　大志郎,"山際　大志郎（やまぎわ　だいしろう）
比例代表（南関東）選出、自由民主党・無所属の会
昭和四十三年九月東京都小金井市に生まれる、山口大学農学部卒業、東京大学大学院農学生命科学研究科修了。獣医学博士、獣医師。第二回南半球鯨類及び環境調査に日本代表調査研究員として従事、東京大学附属動物医療センター獣医師、川崎市・横浜市にて動物病院経営○内閣府大臣政務官、経済産業副大臣、内閣府特命担当大臣（経済財政政策）、経済再生担当、新しい資本主義担当、スタートアップ担当、新型コロナ対策・健康危機管理担当、全世代型社会保障改革担当○自由民主党経済産業部会長、国際局長代理、副幹事長、新型コロナウイルス等感染症対策本部長、競争政策調査会長○衆議院内閣委員長、予算委員会理事○当選七回（43 44 46 47 48 49 50）
（令和7年3月現在）"
